Brand,Name,Type,Scent,Longevity,Rating calc,Comments
Dior,Sauvage,Parfum,🌕🌕🌕🌕🌕,🌕🌕🌕🌕🌗,🔵  10 / 9.5,"If the Elixir is too much for you, get this instead"
Carolina Herrera,Bad Boy Extreme,Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌕🌕,🔵  10 / 9.5,Solid all-around
Yves Saint Laurent,L'Homme  - Le Parfum,Parfum,🌕🌕🌕🌗🌑,🌕🌕🌑🌑🌑,🟤  10 / 5.5,
Givenchy,Gentleman Reserve Privee,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Dior,Sauvage Elixir,Elixir,🌕🌕🌕🌕🌕,🌕🌕🌕🌕🌕,🟢  10 / 10,Hands down the best I’ve had so far
Jean Paul Gaultier,Le Male Le Parfum,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌗🌑🌑,🟠  10 / 7,
Paco Rabanne,Invictus Victory,Elixir,🌕🌕🌕🌕🌗,🌕🌕🌕🌕🌑,🟣  10 / 8.5,"Good scent, solid performance"
Bvlgari,Man in Black,Eau de Parfum,🌕🌕🌕🌕🌕,🌕🌕🌕🌑🌑,🟣  10 / 8,One of my personal favorite scents
Yves Saint Laurent,La Nuit de L'Homme,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌑🌑🌑,🟡  10 / 6,
Viktor&Rolf,Spicebomb Extreme,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌗🌑🌑,🟠  10 / 7,"Loved the scent, but the performance was disappointing"
Azzaro,The Most Wanted Parfum,Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌕🌑,🟣  10 / 8,"Solid all-around, good price"
Dior,Dior Homme Intense,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌑🌑,🟠  10 / 7.5,
Tom Ford,Tobacco Vanille,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌕🌗,🟠  10 / 7.5,
Initio,Side Effect,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌕🌑,🟣  10 / 8.5,"Great scent, good performance, but its quite expensive"
Parfums de Marly,Percival,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Creed,Green Irish Tweed,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,"Smooth, pleasant scent, okayish performance, but the price kills it"
Giorgio Armani,Acqua di Giò Parfum,Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌑🌑,🟠  10 / 7.5,
Tom Ford,Ombré Leather,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Bugatti,Dynamic Move - Blue,Eau de Toilette,🌕🌕🌕🌗🌑,🌕🌑🌑🌑🌑,🟤  10 / 4.5,
Yves Saint Laurent,Y L'Elixir,Elixir,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Yves Saint Laurent,Y - Intense,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌑🌑,🟡  10 / 6.5,
Versace,Eros,Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,Possibly bad sample; have to re-test
Hermés,Terre d’Hermès,Parfum,🌕🌕🌕🌗🌑,🌕🌕🌗🌑🌑,🟡  10 / 6,
Giorgio Armani,Acqua di Giò Profondo,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Paco Rabanne,Phantom,Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌗🌑,🟣  10 / 8,"Good scent, solid performance"
Hugo Boss,Hugo Intense,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌑🌑🌑,🟡  10 / 6,
Paco Rabanne,1 Million,Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌗🌑,🟠  10 / 7,
Mercedes Benz,Mercedes Benz Man Private,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌕🌑,🟣  10 / 8.5,
Chanel,Bleu de Chanel,Parfum,🌕🌕🌕🌗🌑,🌕🌕🌗🌑🌑,🟡  10 / 6,
Dior,Fahrenheit Le Parfum,Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,Possibly bad sample; have to re-test
Paco Rabanne,Phantom Intense,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌑🌑🌑,🟡  10 / 6,
Armaf,Club de Nuit Intense Man,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌗🌑🌑,🟤  10 / 5.5,
Versace,Eros,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Carolina Herrera," Bad Boy Cobalt",Elixir,🌕🌕🌕🌗🌑,🌕🌕🌑🌑🌑,🟤  10 / 5.5,
Jean Paul Gaultier,Scandal Pour Homme Absolu,Parfum,🌕🌕🌕🌕🌕,🌕🌕🌕🌕🌑,🔵  10 / 9,"Lovely sweet, but not too sweet scent, good performance, affordable price."
Prada,Luna Rossa Ocean Le Parfum,Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Jean Paul Gaultier,"Le Male ",Eau de Toilette,🌕🌕🌕🌑🌑,🌕🌕🌑🌑🌑,🟤  10 / 5,
Hugo Boss,The Scent Elixir,Elixir,🌕🌕🌕🌕🌗,🌕🌕🌕🌕🌑,🟣  10 / 8.5,"Good scent, solid performance"
Burberry,Hero,Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌕🌑,🟠  10 / 7.5,
DSQUARED2,Original Wood,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌑🌑🌑,🟤  10 / 5.5,
Moschino,Toy Boy,Eau de Parfum,🌕🌕🌑🌑🌑,🌕🌕🌕🌑🌑,🟤  10 / 5,
Hugo Boss,The Scent,Eau de Toilette,🌕🌕🌕🌕🌑,🌕🌑🌑🌑🌑,🟤  10 / 5,
Giorgio Armani,Code,Eau de Toilette,🌕🌕🌕🌗🌑,🌕🌕🌗🌑🌑,🟡  10 / 6,
Yves Saint Laurent,MYSLF,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌑🌑🌑,🟤  10 / 5,
Hermès,H24,Eau de Parfum,🌗🌑🌑🌑🌑,🌕🌑🌑🌑🌑,⚫  10 / 1.5,
Prada,Luna Rossa Carbon,Eau de Toilette,🌕🌕🌗🌑🌑,🌕🌕🌑🌑🌑,🟤  10 / 4.5,
Valentino,Born In Roma Coral Fantasy Uomo ,Eau de Toilette,🌕🌕🌕🌑🌑,🌕🌕🌑🌑🌑,🟤  10 / 5,
Hugo Boss,The Scent Magnetic,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌑🌑🌑,🟤  10 / 5,
Maison Martin Margiela,From the Garden,Eau de Toilette,🌗🌑🌑🌑🌑,🌕🌑🌑🌑🌑,⚫  10 / 1.5,
Prada,Luna Rossa Ocean,Eau de Toilette,🌕🌕🌗🌑🌑,🌕🌕🌑🌑🌑,🟤  10 / 4.5,
Amouage,Interlude Man,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌕🌕,🟣  10 / 8.5,"It has a strong, but divisive scent; if you hate it, you will have a bad day"
Nasomatto,"Duro ",Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌑🌑,🟡  10 / 6,
"Montale ",Black Aoud,Eau de Parfum,🌕🌕🌑🌑🌑,🌕🌕🌕🌕🌑,🟡  10 / 6,
Montale,Black Aoud Intense,Parfum,🌕🌗🌑🌑🌑,🌕🌕🌕🌕🌕,🟡  10 / 6.5,
Amouage,Epic Man,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌑🌑🌑,🟤  10 / 5.5,
Bvlgari,Man Glacial Essence,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌑🌑🌑🌑,🟤  10 / 4,
Tom Ford,Oud Minérale,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌑🌑,🟡  10 / 6.5,
Dior,Dior Homme,Eau de Toilette,🌕🌕🌕🌕🌑,🌕🌕🌑🌑🌑,🟡  10 / 6,
Guerlain,Habit Rouge,Parfum,🌕🌕🌑🌑🌑,🌕🌕🌗🌑🌑,🟤  10 / 4.5,
Guerlain,L'Homme Ideal Parfum,Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌗🌑,🟣  10 / 8,
JOOP!,Homme,Eau de Parfum,🌕🌕🌗🌑🌑,🌕🌕🌕🌑🌑,🟤  10 / 5.5,
Mancera,Aoud Line,Eau de Parfum,🌕🌕🌗🌑🌑,🌕🌕🌕🌕🌕,🟠  10 / 7.5,
Montale,Arabians Tonka,Eau de Parfum,🌕🌕🌑🌑🌑,🌕🌕🌗🌑🌑,🟤  10 / 4.5,
Montale,Dark Vanilla,Eau de Parfum,🌕🌕🌗🌑🌑,🌕🌕🌕🌑🌑,🟤  10 / 5.5,
Montale,Oud Tobacco,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌕🌕,🔵  10 / 9.5,"A bit of an acquired taste, but with really good performance"
Nobile 1942,Rudis,Eau de Parfum,🌗🌑🌑🌑🌑,🌕🌕🌕🌕🌗,🟤  10 / 5,Smells like sour wine to me…
Paco Rabanne,1 Million,Eau de Toilette,🌕🌕🌕🌗🌑,🌕🌕🌑🌑🌑,🟤  10 / 5.5,
JOOP!,Homme Le Parfum,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Amouage,Interlude Black Iris,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌕🌗,🟣  10 / 8,"It has a strong, but divisive scent; if you hate it, you will have a bad day"
Hugo Boss,Bottled Parfum,Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌑🌑,🟠  10 / 7.5,
Bvlgari,Man Wood Essence,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌑🌑🌑,🟡  10 / 6.5,
Davidoff,Cool Water Intense,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌑🌑,🟡  10 / 6.5,
Dolce & Gabbana,K Eau De Parfum Intense,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌑🌑,🟡  10 / 6.5,
Jean Paul Gaultier,Scandal Pour Homme Le Parfum,Parfum,🌕🌕🌕🌕🌕,🌕🌕🌕🌑🌑,🟣  10 / 8,Possibly bad sample; have to re-test
Kenzo,Homme,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌕🌕,🔵  10 / 9.5,Really good all around and its also cheap
Montblanc,Explorer,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌑🌑,🟡  10 / 6,
Montblanc,Legend,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌗🌑🌑,🟡  10 / 6,
Paco Rabanne,Black XS L'Exces Intense For Him,Eau de Toilette,🌕🌕🌕🌗🌑,🌕🌕🌑🌑🌑,🟤  10 / 5.5,
Philipp Plein,No Limit$ Plein Super Fre$h,Eau de Toilette,🌕🌕🌕🌕🌗,🌕🌕🌑🌑🌑,🟡  10 / 6.5,
Philipp Plein,No Limit$ Gold,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌗🌑🌑🌑,🟤  10 / 4.5,
Police,To Be Rebel,Eau de Toilette,🌕🌕🌕🌕🌑,🌕🌕🌑🌑🌑,🟡  10 / 6,
Tommy Hilfiger,Impact Intense,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Versace,Pour Homme Dylan Blue,Eau de Toilette,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Yves Saint Laurent,MYSLF Le Parfum,Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Viktor&Rolf,Spicebomb,Eau de Toilette,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Mancera,"Red Tobacco ",Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌕🌕,🔵  10 / 9,Smoky spicy-sweet tobacco with really good performance and it comes cheap.
Montale,Honey Aoud,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌑🌑,🟡  10 / 6.5,
Montale,Intense Pepper,Eau de Parfum,🌕🌕🌑🌑🌑,🌕🌕🌕🌑🌑,🟤  10 / 5,
Montale,Oud Dream,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌗🌑,🟣  10 / 8,
